STT,Trích yếu,Số đến,Số ký hiệu,Ngày văn bản,Ngày đến,Đơn vị ban hành,Nội dung,Ngày hết hạn,Người xử lý cuối,Thời gian xử lý,Số hồ sơ,Mã hồ sơ,Ghi chú
908,"Tờ trình thẩm định hồ sơ báo cáo kinh tế kỹ thuật công trình cải tạo, sửa chữa trụ sở Đảng ủy, HĐND, UBND xã Sen Phương",,62/TTR-UBND,15/10/2020,20/10/2020,UBND xã Sen Phương,"Khuất Hữu Tuấn (20/10/2020), Đỗ Thanh Vinh (21/10/2020)",,,,,,
907,"Tờ trình về việc thẩm định, phê duyệt quy hoạch tổng mặt bằng tỷ lệ 1/500. Tên dự án: Xây dựng HTKT xưởng sản xuất đồ gỗ Bắc An Phát xã Thanh Đa, huyện Phúc Thọ, TPHN",,161/TTR-BAP,16/10/2020,20/10/2020,Công ty cổ phần sản xuất và kinh doanh thương mại Bắc An Phát,"Khuất Hữu Tuấn (20/10/2020), Nguyễn Văn Tập (20/10/2020)",,,,,,
936,"Tờ trình thẩm định báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình: Cải tạo, nâng cấp kiên cố hóa đường nội đồng xã Phụng Thượng, huyện Phúc Thọ - Nghị quyết 10 (kèm theo hồ sơ)",,82/TTR-UBND,16/10/2020,27/10/2020,UBND xã Phụng Thượng,"Khuất Hữu Tuấn (27/10/2020), Khuất Duy Hùng (29/10/2020), Hoàng Mạnh Tuấn QLDT (29/10/2020)",,,,,,
935,"Tờ trình thẩm định báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình: Cải tạo, nâng cấp rải cấp phối đá dăm đường nội đồng xã Phụng Thượng, huyện Phúc Thọ - Nghị quyết 10 (kèm theo hồ sơ)",,81/TTR-UBND,16/10/2020,27/10/2020,UBND xã Phụng Thượng,"Khuất Hữu Tuấn (27/10/2020), Khuất Duy Hùng (29/10/2020), Nguyễn Văn Tập (29/10/2020)",,,,,,
906,"Vv xin cung cấp chỉ giới dường đỏ khu đất của công ty tại cụm công nghiệp thị trấn Phúc Thọ, huyện Phúc Thọ, TP Hà Nội",,75/CV.SL,19/10/2020,19/10/2020,Công ty TNHH Song Linh,"Khuất Hữu Tuấn (19/10/2020), Nguyễn Văn Tập (20/10/2020)",,,,,,
902,Tờ trình thẩm định báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình: Trạm y tế xã Phụng Thượng (kèm hồ sơ),,393/TTR-BQLDA,19/10/2020,19/10/2020,Ban quản lý dự án đầu tư xây dựng,"Khuất Hữu Tuấn (19/10/2020), Nguyễn Văn Tập (20/10/2020)",,,,,,
909,Về việc rà soát thủ tục hành chính triển khai viết quy trình giải quyết thủ tục hành chính để cập nhật vào HTQLCL theo TCVN ISO 9001:2015,,1462/UBND-KT,19/10/2020,21/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (21/10/2020), Khuất Duy Hùng (21/10/2020), Tô Quang Tuyển (21/10/2020)",,,,,,
910,"Kế hoạch tăng cường các biện pháp quản lý nhà nước đối với hoạt động đốt rơm rạ, các phụ phẩm cây trồng và chất thải khác không đúng quy định nhằm giảm thiểu tác động tiêu cực đến môi trường",,1466/KH-UBND,19/10/2020,21/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (21/10/2020), Khuất Duy Hùng (21/10/2020), Tô Quang Tuyển (21/10/2020)",,,,,,
922,Tờ trình về việc đề nghị thẩm định báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình Trạm y tế xã Vân Nam,,397/TTR-BQLDA,20/10/2020,23/10/2020,Ban quản lý dự án đầu tư xây dựng,"Khuất Hữu Tuấn (23/10/2020), Nguyễn Văn Tập (26/10/2020)",,,,,,
921,"Tờ trình về việc đề nghị thẩm định thiết kế, khảo sát,lập báo cáo kinh tế kỹ thuật và dự toán công trình: Hoàn trả hệ thống diện hạ thế 0.4kv nằm trong phạm vi dự án phải di chuyển phục vụ công tác GPMB dự án: Cải tạo, nâng cấp đường tỉnh 418 (tỉnh lộ 82 cũ) đoạn Km3+00 - km4+500, trên địa bàn huyện phúc thọ",,213/TTR-TTPTQĐ,20/10/2020,23/10/2020,Trung tâm phát triển quỹ đất,"Khuất Hữu Tuấn (23/10/2020), Hoàng Mạnh Tuấn QLDT (26/10/2020)",,,,,,
915,"V/v: Tham gia ý kiến đồ án "" Quy hoạch kết cấu hạ tầng đường thủy nội địa giai đoạn 2021=2030, tầm nhìn đến năm 2050"" do Bộ GTVT đang triển khai lập quy hoạch.",,5077/SGTVT-KHTC,20/10/2020,22/10/2020,Sở Giao thông Vận tải,"Khuất Hữu Tuấn (22/10/2020), Nguyễn Văn Thắng (22/10/2020), Vũ Hữu Dũng (22/10/2020)",,,,,,
913,"Vv giải quyết đơn của ông Trịnh Văn Ninh, Trưởng ban hành giáo Họ giáo Đường Hồng",,557/BTCD,21/10/2020,22/10/2020,Ban tiếp công dân huyện,"Khuất Hữu Tuấn (22/10/2020), Nguyễn Văn Thắng (22/10/2020), Tô Quang Tuyển (22/10/2020)",,,,,,
917,"Tờ trình thẩm định, phê duyệt chủ trương đầu tư dự án Kiên cố hóa đường giao thông ngõ xóm xã Thọ Lộc",,49/TTR-UBND,22/10/2020,22/10/2020,UBND xã Thọ Lộc,"Khuất Hữu Tuấn (22/10/2020), Nguyễn Văn Tập (22/10/2020), Khuất Duy Hùng (22/10/2020)",,,,,,
928,"Vv nghiên cứu, đề xuất đầu tư và làm chủ đầu tư thực hiện dự án cụm công nghiệp Phúc Thọ mở rộng tại huyện Phúc Thọ",,93/TTR-HMC,22/10/2020,26/10/2020,Công ty cổ phần Hanel Miirolin,"Khuất Hữu Tuấn (26/10/2020), Nguyễn Văn Thắng (26/10/2020), Nguyễn Văn Tập (26/10/2020), Tô Quang Tuyển (26/10/2020)",,,,,,
984,"Tờ trình thẩm định, phê duyệt điều chỉnh thiết kế bản vẽ thi công và dự toán xây dựng sau khi hạ giải công trình: Tu bổ, tôn tạo di tích lịch sử văn hóa Đình Thuấn Nhuế Ngoại xã Tam Thuấn, huyện Phúc Thọ, thành phố Hà Nội",,402/TTR-BQLDA,22/10/2020,04/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,"Khuất Hữu Tuấn (05/11/2020), Nguyễn Văn Tập (09/11/2020)",,,,,,
924,Vv rà soát kết quả thực hiện các chỉ tiêu giao năm 2020,,1491/UBND-VP,22/10/2020,23/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (23/10/2020), Tô Quang Tuyển (26/10/2020)",,,,,,
938,Về việc thực hiện thông tư số 06/2020/TT-BKHĐT ngày 18/9/2020 của Bộ kế hoạch và đầu tư hướng dẫn một số nội dung về lựa chọn nhà đầu tư,,1496/UBND-TCKH,23/10/2020,28/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (28/10/2020), Nguyễn Văn Tập (29/10/2020), Tô Quang Tuyển (29/10/2020)",,,,,,
1027,Kết luận của thường trực Huyện ủy về thực hiện chính sách khuyến khích phát triển sản xuất nông nghiệp và xây dựng hạ tầng nông thôn theo Nghị quyết số 10/NQ-HĐND ngày 05/12/2018 trên địa bàn huyện và những năm tiếp theo,,12-KL/HU,23/10/2020,17/11/2020,Huyện ủy Phúc Thọ,"Khuất Hữu Tuấn (17/11/2020), Khuất Duy Hùng (18/11/2020), Hoàng Mạnh Tuấn QLDT (18/11/2020), Vũ Hữu Dũng (18/11/2020)",,,,,,
919,"Tờ trình thẩm định, phê duyệt chủ trương đầu tư dự án: Can lề, cải tạo rãnh thoát nước đường giao thông ngõ xóm thôn 1,2,3,4,5 xã Hát Môn",,48/TTR-UBND,23/10/2020,23/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (23/10/2020), Khuất Duy Hùng (23/10/2020), Hoàng Mạnh Tuấn QLDT (23/10/2020)",,,,,,
927,Tờ trình đề nghị UBND huyện chỉ đạo bàn giao điểm trường mầm non thôn Xuân Trù,,93/TTR-UBND,23/10/2020,26/10/2020,UBND xã Xuân Đình,"Khuất Hữu Tuấn (26/10/2020), Nguyễn Văn Tập (26/10/2020)",,,,,,
923,"Thông báo kết luận của đồng chí Nguyễn Đình Sơn, Phó chủ tịch thường trực UBND huyện tại buổi làm việc với UBND xã Thanh Đa, họ giáo đường Hồng để chỉ đạo giải quyết đơn xin hạ giải nhà thờ họ giáo đường Hồng, xã Thanh Đa",,762/TB-UBND,23/10/2020,23/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (23/10/2020), Tô Quang Tuyển (26/10/2020)",,,,,,
925,"Tờ trình thẩm định, phê duyệt điều chỉnh cơ cấu tổng mức đầu tư dự án Trường mầm non Phúc Hòa",,403/TTR-BQLDA,23/10/2020,26/10/2020,Ban quản lý dự án đầu tư xây dựng,"Khuất Hữu Tuấn (26/10/2020), Nguyễn Văn Tập (26/10/2020)",,,,,,
932,"Quyết định thành lập tổ công tác tuyên truyền, vận động thực hiện các quy định về công tác tôn giáo",,3389/QĐ-UBND,24/10/2020,26/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (26/10/2020), Tô Quang Tuyển (26/10/2020)",,,,,,
934,Báo cáo về thông tin công trình xây dựng: trường trung học cơ sở xã Vân Nam,,514/BC-BQLDA,26/10/2020,27/10/2020,Ban Quản lý dự án dầu tư xây dựng huyện,"Khuất Hữu Tuấn (27/10/2020), Khuất Duy Hùng (29/10/2020), Đỗ Thanh Vinh (29/10/2020)",,,,,,
939,"Tờ trình đề nghị thẩm định, phê duyệt báo cáo kinh tế kỹ thuật đầu tư xây dnwgj công trình Trạm y tế xã Vân Phúc",,405/TTR-BQLDA,26/10/2020,28/10/2020,Ban Quản lý dự án đầu tư xây dựng,"Khuất Hữu Tuấn (28/10/2020), Nguyễn Văn Tập (29/10/2020)",,,,,,
975,V/v phê duyệt chủ trương đầu tư dự án,,21-NQ/HĐND,26/10/2020,03/11/2020,Hội đồng dân dân huyện,"Khuất Hữu Tuấn (03/11/2020), Hoàng Mạnh Tuấn QLDT (03/11/2020), Nguyễn Văn Tập (03/11/2020), Vũ Hữu Dũng (03/11/2020), Đỗ Thanh Vinh (03/11/2020)",,,,,,
976,"V/v điều chỉnh bổ sung Kế hoạch đầu tư công trung hạn giai đoạn 2016-2020, phân bổ chi tiết và điều chỉnh kế hoạch vốn đầu tư công năm 2019 kéo dài sang năm 2020, kế hoạch vốn đầu tư công năm 2020 huyện Phúc Thọ",,20-NQ/HĐND,26/10/2020,03/11/2020,Hội đồng dân dân huyện,"Khuất Hữu Tuấn (03/11/2020), Khuất Duy Hùng (03/11/2020), Nguyễn Văn Tập (03/11/2020), Tô Quang Tuyển (03/11/2020)",,,,,,
930,Kế hoạch phát động đợt thi đua cao điểm hoàn thành xuất sắc nhiệm vụ phát triển kinh tế - xã hội năm 2020 và thăm quan học tập kinh nghiệm công tác CCHC tại tỉnh Vĩnh Phúc,,01/KH-CĐ,26/10/2020,26/10/2020,Công đoàn UBND huyện,"Khuất Hữu Tuấn (26/10/2020), Vũ Hữu Dũng (26/10/2020), Hoàng Mạnh Tuấn QLDT (26/10/2020)",,,,,,
974,V/v phê chuẩn điều chỉnh quyết toán chi ngân sách huyện năm 2019,,22-NQ/HĐND,26/10/2020,03/11/2020,Hội đồng dân dân huyện,"Khuất Hữu Tuấn (03/11/2020), Tô Quang Tuyển (03/11/2020), Khuất Duy Hùng (03/11/2020)",,,,,,
1172,V/v phê duyệt chủ trương đầu tư dự án,,21/NQ-HĐND,26/10/2020,31/12/2020,Văn phòng HĐND và UBND,"Phòng Quản lý đô thị (05/07/2022), Nguyễn Lan Anh (05/07/2022)",,,,,,
1168,"Nghị quyết về việc điều chỉnh bổ sung kế hoạch đầu tư công trung hạn giai đoạn 2016-2020; phân bổ chi tiết và điều chỉnh kế hoạch vốn đầu tư công năm 2019 kéo dài sang năm 2020, kế hoạch vốn đầu tư công năm 2020 huyện Phúc Thọ",,20/NQ-HĐND,26/10/2020,31/12/2020,Hội đồng nhân dân huyện,"Khuất Hữu Tuấn (22/01/2021), Nguyễn Văn Tập (23/01/2021), Tô Quang Tuyển (23/01/2021)",,,,,,
929,"Quyết định về việc thành lập hội đồng đánh giá di tích sau khi hạ giải công trình: Tu bổ, tôn tạo di tích Quán Ngự xã Tam Hiệp",,3390/QĐ-UBND,26/10/2020,26/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (26/10/2020), Nguyễn Văn Tập (26/10/2020)",,,,,,
940,"Báo cáo hoàn thành thi công xây dựng công trình: Cải tạo, sửa chữa chống xuống cấp một số hạng mục trường THCS Tam Thuấn, trường tiểu học Tam Thuấn, trường mầm non Tam Thuấn",,515/BC-BQLDA,27/10/2020,28/10/2020,Ban Quản lý dự án đầu tư xây dựng,"Khuất Hữu Tuấn (28/10/2020), Đỗ Thanh Vinh (29/10/2020)",,,,,,
937,Về việc triển khai thực hiện kiến nghị của đoàn kiểm tra công vụ làm việc về giải ngân kế hoạch vốn đầu tư công năm 2020,,1515/UBND-TCKH,27/10/2020,28/10/2020,UBND huyện Phúc Thọ,"Khuất Hữu Tuấn (28/10/2020), Nguyễn Văn Thắng (29/10/2020), Nguyễn Văn Tập (29/10/2020), Vũ Hữu Dũng (29/10/2020), Hoàng Mạnh Tuấn QLDT (29/10/2020)",,,,,,
1022,"Tờ trình về việc đề nghị thẩm định báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình: Cải tạo, sửa chữa trụ sở UBND xã Thượng Cốc",,31/TTR-UBND,27/10/2020,13/11/2020,UBND xã Thượng Cốc,Nguyễn Văn Tập (13/11/2020),,,,,,
958,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo nghiên cứu khả thi dự án: Đường liên xã Ngọc Tảo đi Thượng Cốc",,406/TTR-BQLDA,27/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
947,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Cải tạo, mở rộng đường giao thông từ Cổng bầu thôn Dum đến cầu mới kênh tưới Phù Sa xã Thọ Lộc",,407/TTR-BQLDA,27/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Vũ Hữu Dũng (30/10/2020),,,,,,
949,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án Dự án Tu bổ, tôn tạo chùa Tăng Non xã Thanh Đa",,411/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
968,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Cải tạo, nâng cấp trường mầm non xã Vân Nam",,431/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Đỗ Thanh Vinh (03/11/2020),,,,,,
965,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Xây mới, cải tạo nhà vệ sinh trường tiểu học, trung học cơ sở trên địa bàn huyện",,426/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Đỗ Thanh Vinh (03/11/2020),,,,,,
966,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Xây dựng và nạo vét rãnh tiêu thoát nước các khu dân cư xã Thượng Cốc",,427/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Hoàng Mạnh Tuấn QLDT (03/11/2020),,,,,,
967,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Đường điện chiếu sáng trục chính xã Phụng Thượng",,430/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Hoàng Mạnh Tuấn QLDT (03/11/2020),,,,,,
962,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Cải tạo, nâng cấp đường giao thông rãnh tiêu thoát nước, kè ao thôn 5 xã Tam Hiệp",,429/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Nguyễn Văn Tập (05/11/2020),,,,,,
948,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Cải tạo, nâng cấp đường ngõ xóm xã Trạch Mỹ Lộc giai đoạn I",,409/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,"Vũ Hữu Dũng (30/10/2020), Nguyễn Văn Tập (05/11/2020)",,,,,,
961,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Cải tạo, nâng cấp đường giao thông rãnh tiêu thoát nước trong khu dân cư xã Thanh Đa",,433/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Hoàng Mạnh Tuấn QLDT (03/11/2020),,,,,,
957,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo nghiên cứu khả thi dự án: Trường mầm non Tam Hiệp B",,415/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
971,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Trường mầm non xã Phụng Thượng",,423/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Nguyễn Văn Tập (03/11/2020),,,,,,
972,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Công trình: Cải tạo, nâng cấp trường mầm non Hát Môn",,424/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Nguyễn Văn Tập (03/11/2020),,,,,,
973,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án Cải tạo, nâng cấp đường giao thông liên xã Thanh Đa Tam Thuấn (đoạn đường thôn Nội đi xã Thanh Đa)",,432/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Hoàng Mạnh Tuấn QLDT (03/11/2020),,,,,,
956,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật Công trình Nghĩa trang nhân dân thôn Kỳ Úc (khu A)- thị trấn Phúc Thọ",,418/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
955,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật Công trình Cải tạo, nâng cấp trường mầm non Hát Môn",,424/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
954,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật Dự án Cải tạo nghĩa trang nhân dân khu 25-30 và khu đồng thứ 8 xã Vân Phúc",,423/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
953,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc chuẩn bị dự án để lập báo cáo nghiên cứu khả thi Dự án Trường mầm non xã Phụng Thượng",,423/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
952,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án Dự án Cải tạo và mua sắm trang thiết bị nội thất hội trường UBND xã Thọ Lộc",,422/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
951,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án Dự án Cải tạo, nâng cấp trường mầm non xã Vân Phúc",,421/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
950,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án Dự án Tu bổ, tôn tạo chùa Sẻ xã Liên Hiệp",,412/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Nguyễn Văn Tập (30/10/2020),,,,,,
983,"Tờ trình đề nghị thẩm định, phê duyệt báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình: Trạm y tế xã Võng Xuyên",,413/TTR-BQLDA,28/10/2020,04/11/2020,Ban Quản lý dự án đầu tư xây dựng công trình,"Khuất Hữu Tuấn (04/11/2020), Nguyễn Văn Tập (09/11/2020)",,,,,,
946,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Cải tạo, nâng cấp đường và rãnh thoát nước khu dân cư xã Hiệp Thuận",,414/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Vũ Hữu Dũng (30/10/2020),,,,,,
945,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Đường giao thông trong khu dân cư (GĐ 1) xã Vân Hà",,419/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,"Vũ Hữu Dũng (30/10/2020), Nguyễn Văn Tập (05/11/2020)",,,,,,
944,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Cải tạo hệ thống rãnh thoát nước thôn 5 xã Tích Giang",,416/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Hoàng Mạnh Tuấn QLDT (30/10/2020),,,,,,
943,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Cải tạo, nâng cấp đường giao thông từ QL32 đi Trại Khoai, Mỏ Gang thị trấn Phúc Thọ",,416/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,Hoàng Mạnh Tuấn QLDT (30/10/2020),,,,,,
942,"Tờ trình đề nghị thẩm định, phê duyệt Nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị để lập báo cáo kinh tế kỹ thuật dự án Cải tạo, nâng cấp Nhà văn hóa thôn 2,5,6,7 xã Tam Hiệp",,420/TTR-BQLDA,28/10/2020,30/10/2020,Ban Quản lý dự án đàu tư xây dựng huyện,"Khuất Hữu Tuấn (30/10/2020), Đỗ Thanh Vinh (30/10/2020), Đỗ Thanh Vinh (30/10/2020)",,,,,,
964,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Xây mới, cải tạo nhà vệ sinh, mái vòm trường mầm non, tiểu học, trung học cơ sở trên địa bàn huyện",,425/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Nguyễn Văn Tập (03/11/2020),,,,,,
963,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Nâng cấp, cải tạo nghĩa trang thôn Vĩnh Khang - Vĩnh Thuận - Vĩnh Lộc (xã Vân Nam)",,429/TTR-BQLDA,28/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Nguyễn Văn Tập (03/11/2020),,,,,,
941,"Tờ trình thẩm định và phê duyệt báo cáo kinh tế kỹ thuật xây dựng công trình tu bổ, tôn tạo di tích đình Thuấn Nhuế Ngoại. Hạng mục: Bình phong",,255/TTR-PVH&TT,29/10/2020,30/10/2020,Phòng Văn hóa và thông tin,"Khuất Hữu Tuấn (30/10/2020), Đỗ Thanh Vinh (30/10/2020)",,,,,,
979,"Vv tham gia ý kiến đối với đồ án quy hoạch chi tiết xây dựng tỷ lệ 1/500 dự án: Cụm công nghiệp Thanh Đa, huyện Phúc Thọ",,1780/UBND-QLĐT,29/10/2020,03/11/2020,UBND huyện Đan Phượng,"Khuất Hữu Tuấn (03/11/2020), Nguyễn Văn Tập (03/11/2020), Vũ Hữu Dũng (03/11/2020)",,,,,,
1024,Tờ trình thẩm định báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình Mở rộng nâng cấp tuyến đường từ cầu số 3 sông Đáy đi xóm Gạo,,33/TTR-UBND,29/10/2020,13/11/2020,UBND xã Thượng Cốc,Đỗ Thanh Vinh (24/11/2020),,,,,,
969,"Tờ trình đề nghị thẩm định, phê duyệt nhiệm vụ, dự toán chi phí các công việc thực hiện ở giai đoạn chuẩn bị dự án để lập báo cáo kinh tế kỹ thuật. Dự án: Đường giao thông nông thôn Xuân Trù, Xuân Đoài xã Xuân Đinh",,435/TTR-BQLDA,30/10/2020,02/11/2020,Ban Quản lý dự án đầu tư xây dựng huyện,Vũ Hữu Dũng (03/11/2020),,,,,,
960,Hướng dẫn sinh hoạt chi bộ thangs/2020,,06-HD/BTG,30/10/2020,02/11/2020,Ban Tuyên giáo Huyện ủy,"Khuất Hữu Tuấn (02/11/2020), Tô Quang Tuyển (03/11/2020), Nguyễn Văn Thắng (03/11/2020)",,,,,,
